# created by the command P.lop.table_asymp_ranks 
# on Sun Aug 02 10:11:04 EDT 2015  
# P.lop.table_asymp_ranks 1 11 pal xPeriment-P.lopP-100-tableau/xPer-P.lopP-tableau-pal-11-35-100-1901-sample.txt 
#  
instanceSize	rank	rankMid	rankMax 	sizeAl	sizeUniq	coordBest
11	28	27	55	100	98	6,9,7,1,10,2,11,4,5,3,8
11	18	27	55	100	98	7,1,10,4,2,5,3,8,6,11,9
11	20	27	55	100	98	7,1,5,10,3,4,8,2,6,11,9
11	28	27	55	100	98	7,1,5,8,6,10,11,4,9,2,3
11	30	27	55	100	98	7,10,8,11,1,4,2,5,3,6,9
11	36	27	55	100	98	7,10,8,11,9,3,1,4,2,5,6
11	26	27	55	100	98	7,11,1,10,4,2,5,3,8,6,9
11	30	27	55	100	98	7,5,10,8,2,11,3,1,6,4,9
11	34	27	55	100	98	7,5,8,6,11,9,1,10,3,4,2
11	34	27	55	100	98	7,5,8,6,11,9,1,10,4,2,3
11	32	27	55	100	98	7,5,8,6,9,10,2,11,3,1,4
11	32	27	55	100	98	7,8,1,6,10,11,4,5,9,2,3
11	30	27	55	100	98	7,8,1,6,11,4,5,9,10,2,3
11	28	27	55	100	98	7,8,11,1,2,5,6,9,10,3,4
11	34	27	55	100	98	7,8,11,1,5,6,9,10,3,4,2
11	28	27	55	100	98	8,11,1,4,5,9,10,2,3,6,7
11	32	27	55	100	98	8,11,9,1,10,4,2,5,3,6,7
11	26	27	55	100	98	8,2,11,1,5,6,9,10,3,4,7
11	30	27	55	100	98	8,2,11,9,3,7,1,5,6,10,4
11	34	27	55	100	98	8,6,9,10,2,11,3,4,7,1,5
11	28	27	55	100	98	8,9,1,10,2,11,5,3,6,4,7
11	20	27	55	100	98	8,9,1,2,5,3,6,7,10,11,4
11	24	27	55	100	98	8,9,1,2,5,6,10,11,3,4,7
11	28	27	55	100	98	8,9,1,2,6,7,11,5,10,3,4
11	28	27	55	100	98	8,9,1,6,10,2,11,3,4,7,5
11	22	27	55	100	98	9,1,10,4,2,7,5,3,8,6,11
11	16	27	55	100	98	9,1,2,5,3,6,7,10,8,11,4
11	32	27	55	100	98	9,10,3,4,8,2,6,7,11,1,5
11	28	27	55	100	98	9,10,3,8,1,2,6,4,7,11,5
11	30	27	55	100	98	9,2,7,11,5,3,8,1,6,10,4
# coordSizeAll = 100, coordSizeUniq = 84
13	48	39	78	100	84	10,8,11,6,9,3,12,1,4,13,7,2,5
13	44	39	78	100	84	10,8,11,9,2,3,12,6,1,4,13,7,5
13	52	39	78	100	84	10,8,11,9,3,12,13,6,1,4,7,2,5
13	48	39	78	100	84	10,8,11,9,3,12,4,7,1,13,2,5,6
13	50	39	78	100	84	10,8,11,9,3,12,6,4,7,1,13,2,5
13	42	39	78	100	84	10,8,2,11,9,3,12,6,1,4,13,7,5
13	42	39	78	100	84	10,8,9,2,11,3,12,6,1,4,13,7,5
13	46	39	78	100	84	11,9,3,12,1,10,4,13,7,5,8,2,6
13	44	39	78	100	84	11,9,3,12,6,1,10,4,13,7,2,5,8
13	46	39	78	100	84	11,9,3,12,6,1,10,4,13,7,5,8,2
13	46	39	78	100	84	11,9,3,12,6,1,10,4,13,7,8,2,5
13	44	39	78	100	84	11,9,3,12,6,7,1,10,4,13,2,5,8
13	46	39	78	100	84	11,9,3,12,6,7,1,10,4,13,5,8,2
13	46	39	78	100	84	11,9,3,12,6,7,1,10,4,13,8,2,5
13	46	39	78	100	84	11,9,3,12,7,1,10,4,13,5,8,2,6
13	46	39	78	100	84	12,6,9,7,1,10,4,13,8,2,11,5,3
13	46	39	78	100	84	12,7,9,1,10,4,13,8,2,11,5,3,6
13	48	39	78	100	84	12,9,1,10,4,13,8,7,2,11,5,3,6
13	40	39	78	100	84	3,12,9,1,10,4,13,7,8,2,11,5,6
13	44	39	78	100	84	6,9,12,7,1,10,4,13,8,2,11,5,3
13	44	39	78	100	84	7,10,8,11,9,3,12,1,4,13,2,5,6
13	42	39	78	100	84	7,8,11,9,3,12,1,10,4,13,2,5,6
13	46	39	78	100	84	8,11,6,9,10,3,12,1,4,13,7,2,5
13	46	39	78	100	84	8,11,6,9,12,1,10,3,4,13,7,2,5
13	46	39	78	100	84	8,11,9,12,1,10,3,4,13,7,2,5,6
13	40	39	78	100	84	8,11,9,2,3,12,6,1,10,4,13,7,5
13	40	39	78	100	84	8,11,9,2,3,12,6,7,1,10,4,13,5
13	44	39	78	100	84	8,11,9,3,12,1,10,4,13,2,6,7,5
13	44	39	78	100	84	8,11,9,3,12,1,4,13,7,10,2,5,6
13	44	39	78	100	84	8,11,9,3,12,6,4,7,1,10,2,13,5
13	46	39	78	100	84	8,11,9,3,12,6,7,1,10,4,5,13,2
13	38	39	78	100	84	8,2,11,9,3,12,6,1,10,4,13,7,5
13	38	39	78	100	84	8,2,11,9,3,12,6,7,1,10,4,13,5
13	36	39	78	100	84	8,3,6,9,7,12,1,10,4,13,2,11,5
13	36	39	78	100	84	8,9,1,10,2,11,3,12,13,6,4,7,5
13	32	39	78	100	84	8,9,1,10,2,11,3,12,4,13,5,6,7
13	34	39	78	100	84	8,9,1,10,2,11,3,12,4,13,7,5,6
13	34	39	78	100	84	8,9,1,10,2,11,3,12,6,4,13,7,5
13	44	39	78	100	84	8,9,12,1,10,13,2,11,3,6,4,7,5
13	44	39	78	100	84	8,9,12,1,10,13,2,11,5,3,6,4,7
13	42	39	78	100	84	8,9,12,1,10,4,13,2,11,5,3,6,7
13	44	39	78	100	84	8,9,12,3,7,1,10,13,2,11,5,6,4
13	46	39	78	100	84	8,9,12,6,1,10,4,13,7,2,11,5,3
13	44	39	78	100	84	8,9,12,7,1,10,11,3,4,13,2,5,6
13	46	39	78	100	84	8,9,12,7,1,10,11,4,13,2,5,3,6
13	40	39	78	100	84	8,9,12,7,1,10,2,11,3,4,13,5,6
13	46	39	78	100	84	8,9,12,7,1,10,4,13,2,11,5,6,3
13	38	39	78	100	84	8,9,2,11,3,12,6,7,1,10,4,13,5
13	40	39	78	100	84	8,9,2,3,12,13,6,7,1,10,11,4,5
13	34	39	78	100	84	8,9,2,3,12,6,1,10,4,13,7,11,5
13	36	39	78	100	84	8,9,2,3,12,6,7,1,10,13,11,4,5
13	42	39	78	100	84	8,9,3,12,1,10,13,7,2,11,4,5,6
13	38	39	78	100	84	8,9,3,12,1,10,4,13,2,11,5,6,7
13	40	39	78	100	84	8,9,3,12,1,10,4,13,2,11,6,7,5
13	44	39	78	100	84	8,9,3,12,13,6,1,10,4,7,2,11,5
13	46	39	78	100	84	8,9,3,12,13,7,1,10,2,11,5,6,4
13	46	39	78	100	84	8,9,3,12,13,7,1,10,2,11,6,4,5
13	34	39	78	100	84	8,9,7,1,10,2,11,3,12,4,13,5,6
13	42	39	78	100	84	9,1,10,13,8,2,11,3,12,6,4,7,5
13	34	39	78	100	84	9,1,10,3,4,13,7,8,2,11,12,5,6
13	52	39	78	100	84	9,10,13,7,8,2,11,3,12,6,1,4,5
13	50	39	78	100	84	9,10,13,8,2,11,3,12,6,1,4,7,5
13	52	39	78	100	84	9,10,13,8,2,11,3,12,6,4,7,1,5
13	36	39	78	100	84	9,10,3,1,4,13,7,8,2,11,12,5,6
13	40	39	78	100	84	9,10,3,12,1,4,13,7,5,8,2,11,6
13	46	39	78	100	84	9,10,3,12,4,13,7,8,2,1,11,5,6
13	42	39	78	100	84	9,12,1,10,3,13,4,7,8,2,11,5,6
13	40	39	78	100	84	9,12,1,10,3,4,13,7,2,11,5,8,6
13	46	39	78	100	84	9,12,6,1,10,4,13,7,8,2,11,5,3
13	48	39	78	100	84	9,12,7,1,10,11,4,13,8,2,5,3,6
13	46	39	78	100	84	9,12,7,1,10,13,8,2,11,3,4,5,6
13	52	39	78	100	84	9,13,7,10,8,2,11,3,12,6,1,4,5
13	38	39	78	100	84	9,3,12,1,4,13,7,10,5,8,2,11,6
13	38	39	78	100	84	9,3,12,6,1,10,4,13,7,2,11,5,8
13	42	39	78	100	84	9,3,12,7,1,10,13,11,4,2,5,8,6
13	44	39	78	100	84	9,3,12,7,1,10,13,8,11,4,2,5,6
13	44	39	78	100	84	9,3,12,7,1,10,13,8,2,11,5,6,4
13	34	39	78	100	84	9,3,7,1,10,4,13,8,2,11,12,5,6
13	42	39	78	100	84	9,7,1,10,13,8,2,11,3,12,5,6,4
13	42	39	78	100	84	9,7,1,10,13,8,2,11,5,3,12,6,4
13	34	39	78	100	84	9,7,1,10,8,2,11,3,12,4,13,5,6
13	40	39	78	100	84	9,7,10,8,2,11,3,12,1,4,13,5,6
13	42	39	78	100	84	9,7,10,8,2,11,3,12,6,1,4,13,5
13	42	39	78	100	84	9,7,10,8,3,12,1,4,13,2,11,5,6
# coordSizeAll = 100, coordSizeUniq = 100
19	76	85	171	100	100	1,10,2,8,19,6,11,17,9,15,7,12,13,18,5,16,3,14,4
19	80	85	171	100	100	1,10,7,8,14,15,12,2,13,18,19,5,16,6,11,17,3,4,9
19	102	85	171	100	100	1,12,18,10,8,19,17,5,9,16,14,6,4,15,2,7,13,11,3
19	62	85	171	100	100	1,6,7,12,13,17,18,4,5,10,2,11,16,3,8,9,14,15,19
19	64	85	171	100	100	1,7,5,16,14,6,12,4,2,13,11,18,3,10,8,19,17,9,15
19	88	85	171	100	100	10,15,2,7,8,12,13,19,5,11,16,17,3,9,14,1,18,6,4
19	86	85	171	100	100	10,19,16,17,14,4,15,1,5,2,6,3,7,11,8,12,9,13,18
19	98	85	171	100	100	10,19,17,7,4,5,2,11,9,18,16,8,14,6,15,13,3,1,12
19	92	85	171	100	100	10,2,11,8,17,9,14,18,6,15,3,19,7,12,16,4,13,1,5
19	80	85	171	100	100	10,2,8,19,6,17,4,9,15,7,13,5,11,16,3,14,1,12,18
19	100	85	171	100	100	10,8,19,6,17,15,7,5,16,3,14,12,4,2,11,9,13,1,18
19	106	85	171	100	100	11,17,18,15,3,19,7,16,14,4,1,8,5,12,2,9,6,13,10
19	70	85	171	100	100	11,3,12,4,9,10,15,16,1,17,2,7,8,13,14,18,19,5,6
19	96	85	171	100	100	11,8,9,18,6,15,13,3,1,12,10,19,17,7,5,16,14,4,2
19	86	85	171	100	100	11,9,1,18,6,15,3,12,10,19,7,16,4,8,13,17,5,14,2
19	100	85	171	100	100	12,10,16,17,14,2,18,3,19,6,7,4,11,8,9,15,13,1,5
19	80	85	171	100	100	12,10,16,17,2,3,7,4,11,8,9,13,14,18,15,19,1,5,6
19	88	85	171	100	100	12,2,19,11,9,16,6,13,3,1,10,17,7,14,18,4,8,15,5
19	92	85	171	100	100	12,2,19,9,7,18,16,6,4,13,1,10,11,8,17,15,5,3,14
19	90	85	171	100	100	13,17,14,18,4,15,5,2,3,19,9,1,6,10,7,11,16,8,12
19	90	85	171	100	100	13,3,10,19,17,7,14,4,11,15,1,8,5,12,2,9,18,16,6
19	86	85	171	100	100	13,3,10,19,7,11,16,1,8,17,5,14,12,4,2,9,18,6,15
19	80	85	171	100	100	14,1,6,7,12,18,4,10,15,16,2,8,13,19,11,17,5,3,9
19	104	85	171	100	100	14,11,15,12,19,16,4,13,1,17,5,2,9,18,6,3,10,7,8
19	92	85	171	100	100	14,11,15,19,16,1,17,2,18,6,3,7,4,8,5,12,9,13,10
19	102	85	171	100	100	14,12,19,9,16,6,4,13,1,10,17,2,7,11,18,8,15,5,3
19	90	85	171	100	100	14,2,9,18,6,15,3,12,10,19,7,16,4,13,11,1,8,17,5
19	76	85	171	100	100	14,4,2,13,11,1,18,8,6,17,15,5,3,12,19,9,10,7,16
19	88	85	171	100	100	15,12,19,16,1,2,6,7,13,11,17,18,3,4,8,5,9,10,14
19	72	85	171	100	100	15,19,1,5,2,9,6,7,11,12,16,13,17,18,3,4,10,8,14
19	88	85	171	100	100	15,5,12,2,19,11,9,16,6,13,3,1,10,17,7,14,18,4,8
19	68	85	171	100	100	15,5,16,2,3,8,14,19,9,1,6,7,12,4,13,10,11,17,18
19	82	85	171	100	100	16,2,8,13,19,17,5,3,9,14,1,6,7,11,12,18,4,10,15
19	76	85	171	100	100	16,3,8,9,14,1,6,12,10,17,15,2,7,13,18,19,4,5,11
19	32	85	171	100	100	16,4,1,5,2,6,7,11,3,8,12,9,13,10,17,14,18,15,19
19	72	85	171	100	100	16,6,3,4,10,11,8,17,9,14,15,1,12,2,7,13,18,19,5
19	96	85	171	100	100	17,14,2,11,9,18,15,3,19,7,16,4,1,8,5,6,12,13,10
19	94	85	171	100	100	17,15,3,7,14,12,4,2,13,19,5,11,9,1,18,10,16,8,6
19	98	85	171	100	100	17,15,5,12,2,9,7,18,16,6,13,3,10,14,19,4,11,1,8
19	80	85	171	100	100	17,18,3,4,8,5,9,10,14,15,19,16,1,2,6,7,11,12,13
19	96	85	171	100	100	17,18,4,10,2,8,19,9,6,15,7,13,5,11,16,3,14,1,12
19	60	85	171	100	100	17,2,18,3,7,4,8,5,9,6,13,10,14,11,15,12,19,16,1
19	86	85	171	100	100	17,4,15,7,13,5,11,3,12,9,10,16,14,1,2,18,8,19,6
19	68	85	171	100	100	17,4,9,15,1,2,7,13,18,5,6,10,11,16,3,8,14,12,19
19	88	85	171	100	100	17,9,15,1,7,18,5,16,6,3,14,12,4,10,2,8,13,19,11
19	86	85	171	100	100	17,9,7,5,16,14,6,4,11,15,1,12,2,13,18,3,10,8,19
19	116	85	171	100	100	18,10,8,19,6,17,15,7,5,11,16,3,14,12,4,2,9,13,1
19	94	85	171	100	100	18,19,6,7,4,11,8,15,5,12,9,16,13,3,1,10,17,14,2
19	102	85	171	100	100	18,6,13,3,10,19,7,11,16,8,17,14,4,15,1,5,12,2,9
19	94	85	171	100	100	19,11,1,17,7,18,4,8,15,5,12,9,16,2,6,13,3,10,14
19	84	85	171	100	100	19,17,4,9,15,1,2,6,7,13,18,5,10,11,16,3,8,14,12
19	100	85	171	100	100	19,6,17,15,5,3,12,9,10,7,16,14,4,2,13,11,1,18,8
19	94	85	171	100	100	19,9,16,1,6,10,17,7,14,4,2,13,11,18,8,15,5,3,12
19	106	85	171	100	100	19,9,7,16,14,6,4,13,11,1,17,18,15,5,3,12,10,2,8
19	98	85	171	100	100	19,9,7,18,16,6,4,13,5,11,3,1,10,8,17,14,15,12,2
19	82	85	171	100	100	2,19,9,16,6,13,3,1,10,17,7,14,11,18,4,8,15,5,12
19	88	85	171	100	100	2,8,19,9,6,17,15,7,13,5,11,16,3,14,1,12,18,4,10
19	70	85	171	100	100	2,9,6,10,7,11,8,15,12,16,13,17,14,18,3,19,4,1,5
19	58	85	171	100	100	3,19,4,9,1,6,10,7,11,8,15,12,16,13,17,5,14,2,18
19	52	85	171	100	100	3,4,8,9,13,10,14,15,19,1,5,2,6,7,11,12,16,17,18
19	84	85	171	100	100	3,9,1,18,8,6,15,12,13,10,19,17,7,5,16,14,4,2,11
19	62	85	171	100	100	3,9,1,7,18,5,10,16,8,14,6,12,4,15,2,13,19,11,17
19	72	85	171	100	100	3,9,10,14,15,1,7,12,18,16,4,2,8,13,19,5,6,11,17
19	66	85	171	100	100	4,11,15,1,5,12,2,9,18,16,8,6,13,3,10,19,17,7,14
19	70	85	171	100	100	4,11,8,15,5,3,12,9,16,13,1,10,17,14,2,18,19,6,7
19	84	85	171	100	100	4,11,9,1,18,10,16,8,6,17,15,7,13,5,3,14,12,2,19
19	76	85	171	100	100	4,15,13,1,10,17,7,5,14,2,11,18,3,8,12,19,9,16,6
19	68	85	171	100	100	4,15,2,13,11,3,19,9,1,7,18,8,5,6,12,10,16,17,14
19	68	85	171	100	100	4,8,13,5,14,6,11,15,3,1,12,10,19,17,2,9,7,18,16
19	68	85	171	100	100	4,9,15,7,13,1,18,5,10,16,2,3,8,14,19,6,11,12,17
19	90	85	171	100	100	5,12,10,16,17,14,2,18,3,19,6,7,4,11,8,9,15,13,1
19	102	85	171	100	100	5,14,11,12,18,19,16,6,17,3,4,9,15,1,10,2,7,8,13
19	84	85	171	100	100	5,14,12,2,11,9,18,16,6,4,15,13,3,1,10,8,19,17,7
19	76	85	171	100	100	5,2,6,7,12,13,18,10,19,11,16,17,3,4,8,9,14,15,1
19	72	85	171	100	100	5,3,9,10,7,14,11,15,12,18,19,16,4,1,2,8,6,13,17
19	58	85	171	100	100	5,6,3,10,7,14,4,11,8,15,12,19,9,16,13,1,17,2,18
19	76	85	171	100	100	5,9,6,13,10,14,11,15,12,16,1,17,2,18,3,19,7,4,8
19	70	85	171	100	100	6,11,3,9,1,7,12,18,10,16,8,17,14,4,15,2,13,19,5
19	86	85	171	100	100	6,12,17,18,4,5,9,10,15,16,2,3,7,8,13,14,19,11,1
19	86	85	171	100	100	6,12,4,10,15,16,2,13,19,11,17,3,9,1,7,18,8,5,14
19	82	85	171	100	100	6,15,13,5,3,10,19,7,16,14,4,11,1,8,12,17,2,9,18
19	70	85	171	100	100	6,3,10,19,7,4,11,8,15,12,9,16,13,1,17,5,14,2,18
19	66	85	171	100	100	6,3,12,4,10,2,8,13,19,11,17,9,15,1,7,18,5,16,14
19	62	85	171	100	100	6,3,7,4,11,8,12,9,13,14,18,10,15,19,16,1,17,5,2
19	90	85	171	100	100	6,7,11,12,16,13,17,18,3,4,10,8,14,15,19,1,5,2,9
19	70	85	171	100	100	7,11,16,4,1,8,17,5,9,14,6,15,12,2,13,18,3,10,19
19	82	85	171	100	100	7,14,11,18,15,16,3,4,1,8,5,12,2,19,9,6,13,10,17
19	84	85	171	100	100	7,14,12,4,2,13,19,5,11,9,1,18,10,16,8,6,17,15,3
19	68	85	171	100	100	7,16,4,13,1,5,10,14,2,11,18,8,6,15,3,12,19,17,9
19	78	85	171	100	100	7,16,6,4,13,11,1,17,18,5,3,10,8,14,15,12,2,19,9
19	98	85	171	100	100	8,12,9,16,13,17,14,18,4,15,19,1,5,2,6,3,10,7,11
19	80	85	171	100	100	8,17,14,15,2,3,19,9,1,6,7,12,4,13,18,5,10,11,16
19	92	85	171	100	100	8,9,13,14,19,1,6,7,11,12,17,18,4,15,5,10,16,2,3
19	74	85	171	100	100	9,1,10,7,16,8,13,17,5,14,2,6,11,18,15,3,12,19,4
19	94	85	171	100	100	9,1,7,12,18,10,16,8,13,14,19,6,17,4,15,5,2,11,3
19	74	85	171	100	100	9,1,7,18,8,5,6,12,10,16,17,14,4,15,2,13,3,19,11
19	66	85	171	100	100	9,15,1,2,7,13,18,5,3,10,8,14,19,6,11,12,16,17,4
19	86	85	171	100	100	9,15,13,19,1,5,6,10,7,11,12,16,17,14,2,18,3,4,8
19	82	85	171	100	100	9,15,16,13,1,17,2,18,5,6,3,10,7,8,14,12,19,4,11
19	88	85	171	100	100	9,18,15,3,19,7,16,4,1,8,5,6,12,13,10,17,14,2,11
# coordSizeAll = 100, coordSizeUniq = 87
23	114	126	253	100	87	1,14,4,17,7,20,10,23,13,3,16,6,19,9,22,12,2,15,5,18,8,21,11
23	114	126	253	100	87	1,17,10,3,19,12,5,21,14,7,23,16,9,2,18,11,4,20,13,6,22,15,8
23	90	126	253	100	87	1,5,9,13,17,21,2,6,10,14,18,22,3,7,11,15,19,23,4,8,12,16,20
23	132	126	253	100	87	10,13,16,19,22,2,5,8,11,14,17,20,23,3,6,9,12,15,18,21,1,4,7
23	102	126	253	100	87	10,22,11,23,12,1,13,2,14,3,15,4,16,5,17,6,18,7,19,8,20,9,21
23	112	126	253	100	87	11,1,14,4,17,7,20,10,23,13,3,16,6,19,9,22,12,2,15,5,18,8,21
23	130	126	253	100	87	11,12,13,14,15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10
23	130	126	253	100	87	11,15,19,23,4,8,12,16,20,1,5,9,13,17,21,2,6,10,14,18,22,3,7
23	66	126	253	100	87	12,1,13,2,14,3,15,4,16,5,17,6,18,7,19,8,20,9,21,10,22,11,23
23	132	126	253	100	87	12,13,14,15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11
23	120	126	253	100	87	12,15,18,21,1,4,7,10,13,16,19,22,2,5,8,11,14,17,20,23,3,6,9
23	114	126	253	100	87	12,16,20,1,5,9,13,17,21,2,6,10,14,18,22,3,7,11,15,19,23,4,8
23	106	126	253	100	87	12,2,15,5,18,8,21,11,1,14,4,17,7,20,10,23,13,3,16,6,19,9,22
23	132	126	253	100	87	13,14,15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11,12
23	122	126	253	100	87	13,19,2,8,14,20,3,9,15,21,4,10,16,22,5,11,17,23,6,12,18,1,7
23	134	126	253	100	87	13,21,6,14,22,7,15,23,8,16,1,9,17,2,10,18,3,11,19,4,12,20,5
23	136	126	253	100	87	14,17,20,23,3,6,9,12,15,18,21,1,4,7,10,13,16,19,22,2,5,8,11
23	126	126	253	100	87	14,22,7,15,23,8,16,1,9,17,2,10,18,3,11,19,4,12,20,5,13,21,6
23	106	126	253	100	87	14,3,15,4,16,5,17,6,18,7,19,8,20,9,21,10,22,11,23,12,1,13,2
23	130	126	253	100	87	14,7,23,16,9,2,18,11,4,20,13,6,22,15,8,1,17,10,3,19,12,5,21
23	134	126	253	100	87	14,9,4,22,17,12,7,2,20,15,10,5,23,18,13,8,3,21,16,11,6,1,19
23	132	126	253	100	87	15,1,10,19,5,14,23,9,18,4,13,22,8,17,3,12,21,7,16,2,11,20,6
23	126	126	253	100	87	15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11,12,13,14
23	136	126	253	100	87	15,17,19,21,23,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13
23	120	126	253	100	87	15,18,21,1,4,7,10,13,16,19,22,2,5,8,11,14,17,20,23,3,6,9,12
23	138	126	253	100	87	15,21,4,10,16,22,5,11,17,23,6,12,18,1,7,13,19,2,8,14,20,3,9
23	120	126	253	100	87	15,4,16,5,17,6,18,7,19,8,20,9,21,10,22,11,23,12,1,13,2,14,3
23	112	126	253	100	87	15,8,1,17,10,3,19,12,5,21,14,7,23,16,9,2,18,11,4,20,13,6,22
23	120	126	253	100	87	16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
23	130	126	253	100	87	16,5,17,6,18,7,19,8,20,9,21,10,22,11,23,12,1,13,2,14,3,15,4
23	130	126	253	100	87	17,19,21,23,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15
23	112	126	253	100	87	17,2,10,18,3,11,19,4,12,20,5,13,21,6,14,22,7,15,23,8,16,1,9
23	148	126	253	100	87	17,7,20,10,23,13,3,16,6,19,9,22,12,2,15,5,18,8,21,11,1,14,4
23	126	126	253	100	87	18,13,8,3,21,16,11,6,1,19,14,9,4,22,17,12,7,2,20,15,10,5,23
23	114	126	253	100	87	18,21,1,4,7,10,13,16,19,22,2,5,8,11,14,17,20,23,3,6,9,12,15
